"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","262","Ошибка при создании заказа без авторизации и без ингредиентов","tests","Tue Dec 10 22:51:24 CET 2024","passed","Tue Dec 10 22:51:24 CET 2024","TestCreateOrder","test_make_order","",""
"","325","Проверка корректной ошибки при попытке создания пользователя с отсутствующим обязательным полем","tests","Tue Dec 10 22:51:10 CET 2024","passed","Tue Dec 10 22:51:10 CET 2024","TestCreateUser","test_create_user","",""
"","433","Успешное получение заказов при отсутствии заказа у авторизованного пользователя","tests","Tue Dec 10 22:51:14 CET 2024","passed","Tue Dec 10 22:51:14 CET 2024","TestGetOrders","test_get_user_order","",""
"","255","Создание заказа с авторизацией без ингредиентов","tests","Tue Dec 10 22:51:22 CET 2024","passed","Tue Dec 10 22:51:22 CET 2024","TestCreateOrder","test_make_order","",""
"","309","test_login_existing_user","tests","Tue Dec 10 22:51:16 CET 2024","passed","Tue Dec 10 22:51:16 CET 2024","TestLoginUser","test_login user","",""
"","469","Ошибка при получении заказов неавторизованным пользователем","tests","Tue Dec 10 22:51:15 CET 2024","passed","Tue Dec 10 22:51:15 CET 2024","TestGetOrders","test_get_user_order","",""
"","204","Успешное изменение имени и почты с авторизацией","tests","Tue Dec 10 22:51:27 CET 2024","passed","Tue Dec 10 22:51:27 CET 2024","","test_update_user","",""
"","318","Проверка корректной ошибки при попытки авторизации с некорректным паролем","tests","Tue Dec 10 22:51:18 CET 2024","passed","Tue Dec 10 22:51:18 CET 2024","TestLoginUser","test_login user","",""
"","190","Проверка корректной ошибки при попытке создания пользователя с отсутствующим обязательным полем","tests","Tue Dec 10 22:51:09 CET 2024","passed","Tue Dec 10 22:51:10 CET 2024","TestCreateUser","test_create_user","",""
"","197","Проверка корректной ошибки при попытке авторизации с некорректными данными в обоих полях","tests","Tue Dec 10 22:51:16 CET 2024","passed","Tue Dec 10 22:51:17 CET 2024","TestLoginUser","test_login user","",""
"","196","Успешное создание заказа без авторизации с ингредиентами","tests","Tue Dec 10 22:51:24 CET 2024","passed","Tue Dec 10 22:51:24 CET 2024","TestCreateOrder","test_make_order","",""
"","352","Успешное изменение имени с авторизацией","tests","Tue Dec 10 22:51:26 CET 2024","passed","Tue Dec 10 22:51:26 CET 2024","","test_update_user","",""
"","195","Успешное изменение имени и почты с авторизацией","tests","Tue Dec 10 22:51:25 CET 2024","passed","Tue Dec 10 22:51:25 CET 2024","","test_update_user","",""
"","302","Проверка успешного создания уникального пользователя","tests","Tue Dec 10 22:51:09 CET 2024","passed","Tue Dec 10 22:51:09 CET 2024","TestCreateUser","test_create_user","",""
"","192","Ошибка при создании заказа с неверным хешем ингредиентов без авторизации","tests","Tue Dec 10 22:51:24 CET 2024","passed","Tue Dec 10 22:51:24 CET 2024","TestCreateOrder","test_make_order","",""
"","2467","Успешное получение заказов при наличии заказа у авторизованного пользователя","tests","Tue Dec 10 22:51:10 CET 2024","passed","Tue Dec 10 22:51:13 CET 2024","TestGetOrders","test_get_user_order","",""
"","189","Ошибка изменения почты без авторизации","tests","Tue Dec 10 22:51:28 CET 2024","passed","Tue Dec 10 22:51:29 CET 2024","","test_update_user","",""
"","201","Проверка корректной ошибки при некорректной авторизации: {test_data_key}","tests","Tue Dec 10 22:51:17 CET 2024","passed","Tue Dec 10 22:51:17 CET 2024","TestLoginUser","test_login user","",""
"","305","Проверка корректной ошибки при некорректной авторизации: {test_data_key}","tests","Tue Dec 10 22:51:17 CET 2024","passed","Tue Dec 10 22:51:17 CET 2024","TestLoginUser","test_login user","",""
"","244","Проверка корректной ошибки при некорректной авторизации: {test_data_key}","tests","Tue Dec 10 22:51:17 CET 2024","passed","Tue Dec 10 22:51:17 CET 2024","TestLoginUser","test_login user","",""
"","313","test_create_user_already_registered","tests","Tue Dec 10 22:51:09 CET 2024","passed","Tue Dec 10 22:51:09 CET 2024","TestCreateUser","test_create_user","",""
"","191","Проверка корректной ошибки при попытке создания пользователя с отсутствующим обязательным полем","tests","Tue Dec 10 22:51:10 CET 2024","passed","Tue Dec 10 22:51:10 CET 2024","TestCreateUser","test_create_user","",""
"","2142","Успешное создание заказа с валидными ингредиентами и авторизацией","tests","Tue Dec 10 22:51:19 CET 2024","passed","Tue Dec 10 22:51:21 CET 2024","TestCreateOrder","test_make_order","",""
"","280","Ошибка при создании заказа с неверным хешем ингредиентов с авторизацией","tests","Tue Dec 10 22:51:23 CET 2024","passed","Tue Dec 10 22:51:23 CET 2024","TestCreateOrder","test_make_order","",""
